page,title,url
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,臺灣大學光電工程學研究所-115學年度教師研究領域介紹說明會,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255923_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,No.280 文學院音樂會「秋日六弦：Saudade之苦甜回甘」,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255100_11
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114-1 外語教學暨資源中心 「趣玩桌遊」(Board Game Fun),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255161_08
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年11月13日(四) 「療癒葉拓抱枕及萬用袋植感手作」活動(學生場次),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251325_28
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,「114年度第二次學生交通安全宣導」(暨鐵馬週自行車『免費』健檢活動)《宣導當日提供限量餐盒》,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251303_03
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,外教中心英語學習講座 TELL Talks,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255161_07
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年11月12日(三) 「療癒葉拓抱枕及萬用袋植感手作」活動(教職員場次),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251325_27
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114-1【學術倫理講座 Academic Ethics Lecture】,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253700_08
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,宋恭源先生頂尖研究講座 – 諾貝爾獎得主演講系列暨臺灣橋樑計畫開幕式,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253700_07
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,檔案標卡創意應用手作活動,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251401_04
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,2025 CGE Higher Education Forum,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253707_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,臺大慶祝創校97年校慶暨文康推行委員會113年度績優分會頒獎典禮,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2025E500_06
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,泰國文化與經貿系列工作坊,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255161_06
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年11月5日「Eye遊臺大百年校園．Eye護眼行動」衛教校園導覽活動,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251325_24
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,【傑出校友講座】系列,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251181_03
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,【活動】情境英語口說工作坊 Real-Life Scenarios in English Speaking: Workshop and Practicum,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20251911_05
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,114年農業數位學堂系列課程（六）熱烈開放報名囉！,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20255612_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,校慶壁球體驗嘉年華,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2025E500_07
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2025,(場地異動)【我的學思歷程】系列演講 -中央研究院臧振華院士「荒野尋史：我的考古歷程」,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253700_06
